Code,Class,Description,Value in USD T,AAL in USD T,AAL as % of Total AAL,AAL as % of Value,Risk Rank,costMetro,costUrban,costRural
NI-AS,avcomm,Commercial or other types of warehouse,73,0.011,0.0318,0.00015,20,,,
NI-AS,avindustr,General industrial,49,0.006,0.0174,0.00012,21,,,
NI-BO,avsINF,Informal constructions single family,0,0.002,0.0032,0.00559,1,,,
NI-BO,avsM1,Mud walls without horizontal wood elements single family,9,0.048,0.1014,0.00522,2,135,125,110
NI-BO,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",6,0.037,0.0768,0.00595,3,125,110,100
NI-BO,avsW7,Wood braced frame with load-bearing infill wall system single family,7,0.037,0.0768,0.0054,4,,,
NI-BO,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,49,0.085,0.1777,0.00173,5,,,
NI-BO,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,12,0.021,0.0451,0.00182,6,185,165,145
NI-BO,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,0,0.001,0.0016,0.00189,7,,,
NI-BO,avsUFB,Unreinforced Fire Brick masonry single family,21,0.038,0.08,0.00178,8,190,175,160
NI-BO,avmUFB,Unreinforced Fire Brick masonry multi family,0,0,0.0003,0.00201,9,215,195,175
NI-BO,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0,0.0002,0.00201,10,195,175,160
NI-BO,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,7,0.012,0.0242,0.00175,11,225,215,190
NI-BO,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0,0.0001,0.00193,12,245,235,220
NI-BO,avsRS,Rubble Stone masonry single family,18,0.033,0.0693,0.0018,13,,,
NI-BO,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,50,0.091,0.192,0.00182,14,,,
NI-BO,avcomret,Commercial retail,16,0.01,0.0216,0.00063,15,,,
NI-BO,avcomoff,Commercial offices,10,0.006,0.0135,0.00064,16,,,
NI-BO,avcritica,"Critical buildings - schools, hospitals, medical centers",45,0.03,0.0627,0.00066,17,,,
NI-BO,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,4,0.003,0.0053,0.00064,18,250,235,215
NI-BO,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0.0001,0.00066,19,275,260,245
NI-BO,avcomm,Commercial or other types of warehouse,17,0.013,0.0268,0.00077,20,,,
NI-BO,avindustr,General industrial,19,0.01,0.0212,0.00052,21,,,
NI-CA,avsINF,Informal constructions single family,1,0.013,0.003,0.0265,1,,,
NI-CA,avsM1,Mud walls without horizontal wood elements single family,20,0.522,0.1157,0.02621,2,135,125,110
NI-CA,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",10,0.263,0.0582,0.02687,3,125,110,100
NI-CA,avsW7,Wood braced frame with load-bearing infill wall system single family,12,0.213,0.0471,0.01717,4,,,
NI-CA,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,126,1.128,0.2501,0.00899,5,,,
NI-CA,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,28,0.254,0.0564,0.00902,6,185,165,145
NI-CA,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,1,0.008,0.0018,0.00904,7,,,
NI-CA,avsUFB,Unreinforced Fire Brick masonry single family,52,0.473,0.1048,0.009,8,190,175,160
NI-CA,avmUFB,Unreinforced Fire Brick masonry multi family,0,0.001,0.0002,0.00909,9,215,195,175
NI-CA,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0.001,0.0002,0.0091,10,195,175,160
NI-CA,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,17,0.15,0.0332,0.00899,11,225,215,190
NI-CA,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0,0.0001,0.00906,12,245,235,220
NI-CA,avsRS,Rubble Stone masonry single family,44,0.398,0.0883,0.00901,13,,,
NI-CA,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,81,0.431,0.0957,0.00531,14,,,
NI-CA,avcomret,Commercial retail,53,0.111,0.0247,0.00209,15,,,
NI-CA,avcomoff,Commercial offices,32,0.068,0.015,0.00208,16,,,
NI-CA,avcritica,"Critical buildings - schools, hospitals, medical centers",138,0.288,0.0639,0.00209,17,,,
NI-CA,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,9,0.018,0.0041,0.00211,18,250,235,215
NI-CA,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0.0001,0.00212,19,275,260,245
NI-CA,avcomm,Commercial or other types of warehouse,28,0.062,0.0138,0.00222,20,,,
NI-CA,avindustr,General industrial,62,0.107,0.0236,0.00171,21,,,
NI-CI,avsINF,Informal constructions single family,1,0.031,0.0031,0.0229,1,,,
NI-CI,avsM1,Mud walls without horizontal wood elements single family,47,1.151,0.1166,0.02426,2,135,125,110
NI-CI,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",29,0.628,0.0636,0.02149,3,125,110,100
NI-CI,avsW7,Wood braced frame with load-bearing infill wall system single family,33,0.464,0.047,0.01394,4,,,
NI-CI,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,264,2.434,0.2465,0.0092,5,,,
NI-CI,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,62,0.558,0.0566,0.00894,6,185,165,145
NI-CI,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,2,0.018,0.0019,0.00872,7,,,
NI-CI,avsUFB,Unreinforced Fire Brick masonry single family,114,1.03,0.1043,0.00905,8,190,175,160
NI-CI,avmUFB,Unreinforced Fire Brick masonry multi family,0,0.003,0.0003,0.00834,9,215,195,175
NI-CI,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0.002,0.0002,0.00833,10,195,175,160
NI-CI,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,35,0.324,0.0328,0.00914,11,225,215,190
NI-CI,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0.001,0.0001,0.0086,12,245,235,220
NI-CI,avsRS,Rubble Stone masonry single family,97,0.872,0.0883,0.00899,13,,,
NI-CI,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,239,1.005,0.1017,0.0042,14,,,
NI-CI,avcomret,Commercial retail,117,0.231,0.0234,0.00198,15,,,
NI-CI,avcomoff,Commercial offices,71,0.141,0.0143,0.00199,16,,,
NI-CI,avcritica,"Critical buildings - schools, hospitals, medical centers",305,0.6,0.0608,0.00197,17,,,
NI-CI,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,20,0.037,0.0038,0.00184,18,250,235,215
NI-CI,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0.001,0.0001,0.0018,19,275,260,245
NI-CI,avcomm,Commercial or other types of warehouse,69,0.121,0.0123,0.00175,20,,,
NI-CI,avindustr,General industrial,137,0.221,0.0224,0.00162,21,,,
NI-CO,avsINF,Informal constructions single family,0,0.001,0.0026,0.00303,1,,,
NI-CO,avsM1,Mud walls without horizontal wood elements single family,12,0.038,0.0889,0.00316,2,135,125,110
NI-CO,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",8,0.024,0.0565,0.00291,3,125,110,100
NI-CO,avsW7,Wood braced frame with load-bearing infill wall system single family,9,0.032,0.0741,0.00352,4,,,
NI-CO,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,62,0.075,0.1739,0.0012,5,,,
NI-CO,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,15,0.018,0.0416,0.00118,6,185,165,145
NI-CO,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,1,0.001,0.0014,0.00115,7,,,
NI-CO,avsUFB,Unreinforced Fire Brick masonry single family,27,0.033,0.0754,0.00119,8,190,175,160
NI-CO,avmUFB,Unreinforced Fire Brick masonry multi family,0,0,0.0002,0.00112,9,215,195,175
NI-CO,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0,0.0002,0.00112,10,195,175,160
NI-CO,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,8,0.01,0.0234,0.0012,11,225,215,190
NI-CO,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0,0.0001,0.00114,12,245,235,220
NI-CO,avsRS,Rubble Stone masonry single family,24,0.028,0.0644,0.00118,13,,,
NI-CO,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,68,0.079,0.1837,0.00116,14,,,
NI-CO,avcomret,Commercial retail,28,0.014,0.033,0.0005,15,,,
NI-CO,avcomoff,Commercial offices,17,0.009,0.0206,0.00052,16,,,
NI-CO,avcritica,"Critical buildings - schools, hospitals, medical centers",78,0.04,0.0922,0.00051,17,,,
NI-CO,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,5,0.002,0.0055,0.00046,18,250,235,215
NI-CO,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0.0001,0.00045,19,275,260,245
NI-CO,avcomm,Commercial or other types of warehouse,28,0.013,0.0303,0.00046,20,,,
NI-CO,avindustr,General industrial,33,0.014,0.032,0.00041,21,,,
NI-ES,avsINF,Informal constructions single family,1,0.002,0.0025,0.00318,1,,,
NI-ES,avsM1,Mud walls without horizontal wood elements single family,27,0.087,0.0912,0.00323,2,135,125,110
NI-ES,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",16,0.051,0.0527,0.00314,3,125,110,100
NI-ES,avsW7,Wood braced frame with load-bearing infill wall system single family,19,0.073,0.0757,0.00389,4,,,
NI-ES,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,154,0.182,0.19,0.00118,5,,,
NI-ES,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,36,0.042,0.0442,0.00117,6,185,165,145
NI-ES,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,1,0.001,0.0015,0.00117,7,,,
NI-ES,avsUFB,Unreinforced Fire Brick masonry single family,66,0.078,0.0811,0.00118,8,190,175,160
NI-ES,avmUFB,Unreinforced Fire Brick masonry multi family,0,0,0.0002,0.00116,9,215,195,175
NI-ES,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0,0.0002,0.00116,10,195,175,160
NI-ES,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,21,0.024,0.0254,0.00118,11,225,215,190
NI-ES,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0,0.0001,0.00116,12,245,235,220
NI-ES,avsRS,Rubble Stone masonry single family,56,0.066,0.0689,0.00118,13,,,
NI-ES,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,132,0.177,0.1843,0.00134,14,,,
NI-ES,avcomret,Commercial retail,57,0.03,0.031,0.00053,15,,,
NI-ES,avcomoff,Commercial offices,34,0.019,0.0193,0.00054,16,,,
NI-ES,avcritica,"Critical buildings - schools, hospitals, medical centers",145,0.078,0.0814,0.00054,17,,,
NI-ES,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,12,0.006,0.006,0.0005,18,250,235,215
NI-ES,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0.0001,0.0005,19,275,260,245
NI-ES,avcomm,Commercial or other types of warehouse,26,0.014,0.0144,0.00054,20,,,
NI-ES,avindustr,General industrial,66,0.029,0.0298,0.00044,21,,,
NI-GR,avsINF,Informal constructions single family,1,0.013,0.0028,0.02097,1,,,
NI-GR,avsM1,Mud walls without horizontal wood elements single family,25,0.518,0.1102,0.02112,2,135,125,110
NI-GR,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",12,0.255,0.0543,0.02079,3,125,110,100
NI-GR,avsW7,Wood braced frame with load-bearing infill wall system single family,15,0.215,0.0457,0.01396,4,,,
NI-GR,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,153,1.204,0.2564,0.00785,5,,,
NI-GR,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,35,0.27,0.0576,0.00783,6,185,165,145
NI-GR,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,1,0.009,0.0019,0.0078,7,,,
NI-GR,avsUFB,Unreinforced Fire Brick masonry single family,64,0.503,0.1072,0.00784,8,190,175,160
NI-GR,avmUFB,Unreinforced Fire Brick masonry multi family,0,0.001,0.0002,0.00776,9,215,195,175
NI-GR,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0.001,0.0002,0.00775,10,195,175,160
NI-GR,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,20,0.16,0.034,0.00785,11,225,215,190
NI-GR,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0.001,0.0001,0.00779,12,245,235,220
NI-GR,avsRS,Rubble Stone masonry single family,54,0.424,0.0903,0.00783,13,,,
NI-GR,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,102,0.436,0.0929,0.00429,14,,,
NI-GR,avcomret,Commercial retail,69,0.12,0.0256,0.00175,15,,,
NI-GR,avcomoff,Commercial offices,42,0.073,0.0156,0.00175,16,,,
NI-GR,avcritica,"Critical buildings - schools, hospitals, medical centers",175,0.307,0.0653,0.00175,17,,,
NI-GR,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,11,0.019,0.004,0.00176,18,250,235,215
NI-GR,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0.0001,0.00176,19,275,260,245
NI-GR,avcomm,Commercial or other types of warehouse,29,0.053,0.0113,0.0018,20,,,
NI-GR,avindustr,General industrial,80,0.114,0.0244,0.00143,21,,,
NI-JI,avsINF,Informal constructions single family,1,0.001,0.0022,0.00122,1,,,
NI-JI,avsM1,Mud walls without horizontal wood elements single family,20,0.027,0.0823,0.00136,2,135,125,110
NI-JI,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",14,0.015,0.0448,0.00108,3,125,110,100
NI-JI,avsW7,Wood braced frame with load-bearing infill wall system single family,15,0.027,0.08,0.00178,4,,,
NI-JI,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,104,0.06,0.1799,0.00057,5,,,
NI-JI,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,25,0.014,0.0414,0.00054,6,185,165,145
NI-JI,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,1,0,0.0014,0.00052,7,,,
NI-JI,avsUFB,Unreinforced Fire Brick masonry single family,46,0.025,0.0763,0.00055,8,190,175,160
NI-JI,avmUFB,Unreinforced Fire Brick masonry multi family,0,0,0.0002,0.00048,9,215,195,175
NI-JI,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0,0.0002,0.00047,10,195,175,160
NI-JI,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,14,0.008,0.024,0.00057,11,225,215,190
NI-JI,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0,0.0001,0.0005,12,245,235,220
NI-JI,avsRS,Rubble Stone masonry single family,39,0.021,0.0646,0.00055,13,,,
NI-JI,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,112,0.069,0.2062,0.00061,14,,,
NI-JI,avcomret,Commercial retail,32,0.011,0.032,0.00033,15,,,
NI-JI,avcomoff,Commercial offices,20,0.007,0.0201,0.00034,16,,,
NI-JI,avcritica,"Critical buildings - schools, hospitals, medical centers",87,0.029,0.0864,0.00033,17,,,
NI-JI,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,8,0.002,0.0066,0.00026,18,250,235,215
NI-JI,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0.0001,0.00025,19,275,260,245
NI-JI,avcomm,Commercial or other types of warehouse,25,0.007,0.0199,0.00026,20,,,
NI-JI,avindustr,General industrial,38,0.01,0.0313,0.00027,21,,,
NI-LE,avsINF,Informal constructions single family,2,0.04,0.0033,0.02577,1,,,
NI-LE,avsM1,Mud walls without horizontal wood elements single family,53,1.408,0.1169,0.02651,2,135,125,110
NI-LE,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",35,0.883,0.0733,0.02506,3,125,110,100
NI-LE,avsW7,Wood braced frame with load-bearing infill wall system single family,39,0.606,0.0503,0.0156,4,,,
NI-LE,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,281,2.814,0.2336,0.01001,5,,,
NI-LE,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,68,0.669,0.0555,0.00986,6,185,165,145
NI-LE,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,2,0.023,0.0019,0.00973,7,,,
NI-LE,avsUFB,Unreinforced Fire Brick masonry single family,123,1.216,0.1009,0.00992,8,190,175,160
NI-LE,avmUFB,Unreinforced Fire Brick masonry multi family,0,0.003,0.0003,0.00952,9,215,195,175
NI-LE,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0.003,0.0002,0.00951,10,195,175,160
NI-LE,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,38,0.378,0.0313,0.00998,11,225,215,190
NI-LE,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0.001,0.0001,0.00966,12,245,235,220
NI-LE,avsRS,Rubble Stone masonry single family,105,1.038,0.0862,0.00988,13,,,
NI-LE,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,288,1.351,0.1121,0.0047,14,,,
NI-LE,avcomret,Commercial retail,128,0.261,0.0217,0.00205,15,,,
NI-LE,avcomoff,Commercial offices,78,0.16,0.0133,0.00205,16,,,
NI-LE,avcritica,"Critical buildings - schools, hospitals, medical centers",344,0.7,0.0581,0.00204,17,,,
NI-LE,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,22,0.044,0.0037,0.00197,18,250,235,215
NI-LE,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0.001,0.0001,0.00195,19,275,260,245
NI-LE,avcomm,Commercial or other types of warehouse,104,0.197,0.0164,0.00189,20,,,
NI-LE,avindustr,General industrial,150,0.251,0.0209,0.00167,21,,,
NI-MD,avsINF,Informal constructions single family,0,0.001,0.0027,0.00209,1,,,
NI-MD,avsM1,Mud walls without horizontal wood elements single family,10,0.021,0.0901,0.00207,2,135,125,110
NI-MD,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",7,0.015,0.0635,0.0021,3,125,110,100
NI-MD,avsW7,Wood braced frame with load-bearing infill wall system single family,8,0.022,0.0955,0.00292,4,,,
NI-MD,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,52,0.039,0.1651,0.00074,5,,,
NI-MD,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,13,0.01,0.0407,0.00075,6,185,165,145
NI-MD,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,0,0,0.0014,0.00075,7,,,
NI-MD,avsUFB,Unreinforced Fire Brick masonry single family,23,0.017,0.0729,0.00074,8,190,175,160
NI-MD,avmUFB,Unreinforced Fire Brick masonry multi family,0,0,0.0002,0.00075,9,215,195,175
NI-MD,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0,0.0002,0.00075,10,195,175,160
NI-MD,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,7,0.005,0.0223,0.00074,11,225,215,190
NI-MD,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0,0.0001,0.00075,12,245,235,220
NI-MD,avsRS,Rubble Stone masonry single family,20,0.015,0.0627,0.00075,13,,,
NI-MD,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,58,0.06,0.2565,0.00104,14,,,
NI-MD,avcomret,Commercial retail,11,0.004,0.0185,0.0004,15,,,
NI-MD,avcomoff,Commercial offices,7,0.003,0.0116,0.00042,16,,,
NI-MD,avcritica,"Critical buildings - schools, hospitals, medical centers",29,0.012,0.0524,0.00042,17,,,
NI-MD,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,4,0.002,0.0067,0.00037,18,250,235,215
NI-MD,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0.0001,0.00037,19,275,260,245
NI-MD,avcomm,Commercial or other types of warehouse,10,0.004,0.0185,0.00045,20,,,
NI-MD,avindustr,General industrial,13,0.004,0.0182,0.00034,21,,,
NI-MN,avsINF,Informal constructions single family,3,0.066,0.0016,0.02241,1,,,
NI-MN,avsM1,Mud walls without horizontal wood elements single family,51,1.104,0.0272,0.0218,2,135,125,110
NI-MN,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",30,0.65,0.016,0.02156,3,125,110,100
NI-MN,avsW7,Wood braced frame with load-bearing infill wall system single family,36,0.508,0.0125,0.01421,4,,,
NI-MN,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,2125,17.842,0.4393,0.0084,5,,,
NI-MN,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,425,3.559,0.0876,0.00838,6,185,165,145
NI-MN,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,14,0.118,0.0029,0.00837,7,,,
NI-MN,avsUFB,Unreinforced Fire Brick masonry single family,488,4.076,0.1004,0.00835,8,190,175,160
NI-MN,avmUFB,Unreinforced Fire Brick masonry multi family,2,0.014,0.0004,0.00834,9,215,195,175
NI-MN,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,2,0.013,0.0003,0.00834,10,195,175,160
NI-MN,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,95,0.789,0.0194,0.0083,11,225,215,190
NI-MN,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0.002,0.0001,0.00821,12,245,235,220
NI-MN,avsRS,Rubble Stone masonry single family,131,1.063,0.0262,0.00814,13,,,
NI-MN,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,691,3.053,0.0752,0.00442,14,,,
NI-MN,avcomret,Commercial retail,856,1.531,0.0377,0.00179,15,,,
NI-MN,avcomoff,Commercial offices,463,0.83,0.0204,0.00179,16,,,
NI-MN,avcritica,"Critical buildings - schools, hospitals, medical centers",1868,3.346,0.0824,0.00179,17,,,
NI-MN,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,165,0.297,0.0073,0.0018,18,250,235,215
NI-MN,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,2,0.004,0.0001,0.0018,19,275,260,245
NI-MN,avcomm,Commercial or other types of warehouse,258,0.45,0.0111,0.00175,20,,,
NI-MN,avindustr,General industrial,887,1.298,0.032,0.00146,21,,,
NI-MS,avsINF,Informal constructions single family,1,0.015,0.0019,0.02331,1,,,
NI-MS,avsM1,Mud walls without horizontal wood elements single family,16,0.372,0.048,0.02382,2,135,125,110
NI-MS,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",7,0.155,0.02,0.02265,3,125,110,100
NI-MS,avsW7,Wood braced frame with load-bearing infill wall system single family,9,0.139,0.0179,0.01488,4,,,
NI-MS,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,403,3.474,0.4478,0.00862,5,,,
NI-MS,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,81,0.698,0.09,0.00862,6,185,165,145
NI-MS,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,3,0.023,0.0029,0.0086,7,,,
NI-MS,avsUFB,Unreinforced Fire Brick masonry single family,102,0.887,0.1144,0.00868,8,190,175,160
NI-MS,avmUFB,Unreinforced Fire Brick masonry multi family,0,0.003,0.0004,0.00856,9,215,195,175
NI-MS,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0.003,0.0003,0.00856,10,195,175,160
NI-MS,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,23,0.2,0.0258,0.00877,11,225,215,190
NI-MS,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0.001,0.0001,0.00869,12,245,235,220
NI-MS,avsRS,Rubble Stone masonry single family,40,0.355,0.0457,0.00886,13,,,
NI-MS,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,130,0.582,0.075,0.00448,14,,,
NI-MS,avcomret,Commercial retail,81,0.153,0.0197,0.0019,15,,,
NI-MS,avcomoff,Commercial offices,47,0.089,0.0114,0.0019,16,,,
NI-MS,avcritica,"Critical buildings - schools, hospitals, medical centers",192,0.364,0.0469,0.0019,17,,,
NI-MS,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,30,0.056,0.0072,0.00184,18,250,235,215
NI-MS,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0.001,0.0001,0.00184,19,275,260,245
NI-MS,avcomm,Commercial or other types of warehouse,27,0.05,0.0064,0.00186,20,,,
NI-MS,avindustr,General industrial,89,0.139,0.0179,0.00156,21,,,
NI-MT,avsINF,Informal constructions single family,1,0.003,0.0026,0.00257,1,,,
NI-MT,avsM1,Mud walls without horizontal wood elements single family,34,0.089,0.0909,0.0026,2,135,125,110
NI-MT,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",22,0.055,0.0557,0.00254,3,125,110,100
NI-MT,avsW7,Wood braced frame with load-bearing infill wall system single family,24,0.076,0.0769,0.0031,4,,,
NI-MT,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,190,0.18,0.1829,0.00095,5,,,
NI-MT,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,45,0.043,0.0433,0.00095,6,185,165,145
NI-MT,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,2,0.001,0.0015,0.00094,7,,,
NI-MT,avsUFB,Unreinforced Fire Brick masonry single family,82,0.078,0.0789,0.00095,8,190,175,160
NI-MT,avmUFB,Unreinforced Fire Brick masonry multi family,0,0,0.0002,0.00094,9,215,195,175
NI-MT,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0,0.0002,0.00094,10,195,175,160
NI-MT,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,25,0.024,0.0245,0.00095,11,225,215,190
NI-MT,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,0,0,0.0001,0.00094,12,245,235,220
NI-MT,avsRS,Rubble Stone masonry single family,70,0.066,0.0673,0.00095,13,,,
NI-MT,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,177,0.188,0.1909,0.00106,14,,,
NI-MT,avcomret,Commercial retail,73,0.029,0.0299,0.00041,15,,,
NI-MT,avcomoff,Commercial offices,44,0.018,0.0188,0.00042,16,,,
NI-MT,avcritica,"Critical buildings - schools, hospitals, medical centers",193,0.08,0.081,0.00041,17,,,
NI-MT,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,15,0.006,0.006,0.00041,18,250,235,215
NI-MT,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0.0001,0.0004,19,275,260,245
NI-MT,avcomm,Commercial or other types of warehouse,53,0.019,0.0194,0.00036,20,,,
NI-MT,avindustr,General industrial,85,0.029,0.0291,0.00034,21,,,
NI-NS,avsINF,Informal constructions single family,1,0.001,0.0024,0.00107,1,,,
NI-NS,avsM1,Mud walls without horizontal wood elements single family,21,0.022,0.0788,0.00107,2,135,125,110
NI-NS,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",15,0.016,0.0551,0.00107,3,125,110,100
